classifier_name,dataset_name,accuracy
LS,79,99.62
LS,80,50.0
LS,81,66.02
LS,82,61.03896104
LS,83,72.72727273
LS,84,84.99
TSBF,0,76.98209719
TSBF,1,75.42857143
TSBF,2,56.66666667
TSBF,3,80.0
TSBF,4,90.0
TSBF,5,78.33333333
TSBF,6,98.77777778
TSBF,7,69.24479167
TSBF,8,71.23188406
TSBF,9,100.0
TSBF,10,75.6
TSBF,11,70.51282051
TSBF,12,73.58974359
TSBF,13,71.53846154
TSBF,14,89.86928105
TSBF,15,78.26086957
TSBF,16,71.22302158
TSBF,17,67.62589928
TSBF,18,74.82014388
TSBF,19,84.0
TSBF,20,93.95555556
TSBF,21,87.68873403
TSBF,22,70.25029179
TSBF,23,74.43786982
TSBF,24,100.0
TSBF,25,86.68292683
TSBF,26,75.82417582
TSBF,27,83.42857143
TSBF,28,85.0
TSBF,29,59.87654321
TSBF,30,98.66666667
TSBF,31,76.19047619
TSBF,32,85.40540541
TSBF,33,49.02597403
TSBF,34,64.0625
TSBF,35,38.54545455
TSBF,36,62.47474747
TSBF,37,88.33819242
TSBF,38,52.8
TSBF,39,73.77049179999999
TSBF,40,72.60273973
TSBF,41,96.03411514
TSBF,42,93.33333333
TSBF,43,70.52631579
TSBF,44,81.44329897
TSBF,45,57.79220779
TSBF,46,59.74025974
TSBF,47,90.33546326
TSBF,48,84.22391858
TSBF,49,86.15776081
TSBF,50,83.33333333
TSBF,51,76.03305785
TSBF,52,82.98368298
TSBF,53,27.6371308
TSBF,54,100.0
TSBF,55,87.28522337
TSBF,56,84.87804878
TSBF,57,80.97560976
TSBF,58,47.2
TSBF,59,50.93333333
TSBF,60,96.11111111
TSBF,61,18.5
TSBF,62,67.2
TSBF,63,79.53410982
TSBF,64,77.75445959999999
TSBF,65,97.7051967
TSBF,66,95.40540541
TSBF,67,91.52
TSBF,68,94.57286432
TSBF,69,99.33333333
TSBF,70,78.07017544
TSBF,71,80.0
TSBF,72,98.0
TSBF,73,86.56716418
TSBF,74,97.625
TSBF,75,83.08207705
TSBF,76,73.61809045
TSBF,77,77.24734785
TSBF,78,92.62981575
TSBF,79,99.51330305
TSBF,80,61.11111111
TSBF,81,68.80877743
TSBF,82,68.83116883
TSBF,83,75.32467532
TSBF,84,81.93333333
EE(PROP),0,66.49616368
EE(PROP),1,81.14285714
EE(PROP),2,63.33333333
EE(PROP),3,75.0
EE(PROP),4,80.0
EE(PROP),5,83.33333333
EE(PROP),6,99.77777778
EE(PROP),7,65.625
EE(PROP),8,94.20289855
EE(PROP),9,100.0
EE(PROP),10,70.8
EE(PROP),11,81.28205128
EE(PROP),12,80.51282051
EE(PROP),13,78.20512821
EE(PROP),14,94.44444444
EE(PROP),15,72.82608696
EE(PROP),16,69.06474820000001
EE(PROP),17,64.74820144
EE(PROP),18,74.10071942
EE(PROP),19,88.0
EE(PROP),20,93.86666667
EE(PROP),21,81.99767712
EE(PROP),22,66.29490338
EE(PROP),23,84.85207101
EE(PROP),24,90.90909091
EE(PROP),25,94.48780488
EE(PROP),26,81.97802198
EE(PROP),27,96.57142857
EE(PROP),28,73.78787879
EE(PROP),29,66.17283951
EE(PROP),30,99.33333333
EE(PROP),31,57.14285714
EE(PROP),32,88.91891892
EE(PROP),33,39.28571429
EE(PROP),34,57.8125
EE(PROP),35,46.0
EE(PROP),36,59.49494949
EE(PROP),37,96.20991254
EE(PROP),38,81.06666667
EE(PROP),39,88.52459016
EE(PROP),40,76.71232877
